x_idx,y_idx,T,qx,qy
21,16,0.688948,-4.5863e-05,0.000933129
21,17,0.683347,-4.35886e-05,0.000929181
21,18,0.677769,-4.11162e-05,0.000925631
21,19,0.672212,-3.85051e-05,0.000922464
21,20,0.666672,-3.58062e-05,0.000919661
21,21,0.661148,-3.3062e-05,0.000917197
21,22,0.655638,-3.03079e-05,0.000915048
21,23,0.650139,-2.75723e-05,0.000913186
21,24,0.644652,-2.48777e-05,0.000911586
21,25,0.639173,-2.22412e-05,0.000910221
21,26,0.633702,-1.96759e-05,0.000909067
21,27,0.628237,-1.71907e-05,0.0009081
21,28,0.622777,-1.47916e-05,0.0009073
21,29,0.617322,-1.24822e-05,0.000906647
21,30,0.61187,-1.02637e-05,0.000906122
21,31,0.606421,-8.13603e-06,0.00090571
21,32,0.600974,-6.09746e-06,0.000905396
21,33,0.595529,-4.14545e-06,0.000905168
21,34,0.590085,-2.27663e-06,0.000905015
21,35,0.584641,-4.87082e-07,0.000904925
21,36,0.579198,1.22756e-06,0.000904892
21,37,0.573755,2.87194e-06,0.000904906
21,38,0.568312,4.45086e-06,0.000904962
21,39,0.562869,5.96927e-06,0.000905055
21,40,0.557424,7.43215e-06,0.000905178
21,41,0.551979,8.84446e-06,0.000905329
21,42,0.546533,1.02112e-05,0.000905504
21,43,0.541086,1.15371e-05,0.0009057
21,44,0.535638,1.28272e-05,0.000905915
21,45,0.530188,1.40861e-05,0.000906147
21,46,0.524737,1.53184e-05,0.000906396
21,47,0.519284,1.65287e-05,0.000906661
21,48,0.513829,1.77214e-05,0.000906941
21,49,0.508373,1.8901e-05,0.000907236
21,50,0.502915,2.00717e-05,0.000907547
21,51,0.497455,2.12377e-05,0.000907874
21,52,0.491993,2.24031e-05,0.000908219
21,53,0.486529,2.3572e-05,0.000908583
21,54,0.481063,2.47483e-05,0.000908969
21,55,0.475594,2.5936e-05,0.000909378
21,56,0.470123,2.71389e-05,0.000909812
21,57,0.464649,2.83606e-05,0.000910276
21,58,0.459172,2.96049e-05,0.000910772
